INFO 2024-10-10 12:51:18,621 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-10 12:51:18,625 autoreload Waiting for apps ready_event.
DEBUG 2024-10-10 12:51:20,550 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-10 12:51:20,571 autoreload Watching dir C:\Users\cmadaria\Documents\Projects\Masterdata Checker\django_checker\masterdata_checker\myapp\templates with glob **/*.
DEBUG 2024-10-10 12:51:20,573 autoreload Watching dir C:\Users\cmadaria\Documents\Projects\Masterdata Checker\django_checker\masterdata_checker\locale with glob **/*.mo.
DEBUG 2024-10-10 12:51:20,574 autoreload Watching dir C:\Users\cmadaria\Documents\Projects\Masterdata Checker\django_checker\masterdata_checker\myapp\locale with glob **/*.mo.
DEBUG 2024-10-10 12:51:20,649 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-10-10 12:51:21,159 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1728485724.8970928
DEBUG 2024-10-10 12:51:21,160 autoreload File C:\Users\cmadaria\Miniconda3\Lib\queue.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,160 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\cell\read_only.py first seen with mtime 1692801712.0556884
DEBUG 2024-10-10 12:51:21,161 autoreload File C:\Users\cmadaria\Miniconda3\Lib\stat.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,162 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1728485726.2165048
DEBUG 2024-10-10 12:51:21,162 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1728485703.6438906
DEBUG 2024-10-10 12:51:21,163 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\indexes\category.py first seen with mtime 1682339319.0896337
DEBUG 2024-10-10 12:51:21,163 autoreload File C:\Users\cmadaria\Miniconda3\Lib\urllib\error.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,164 autoreload File C:\Users\cmadaria\Miniconda3\Lib\hashlib.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,164 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\indexers\utils.py first seen with mtime 1682339319.0317714
DEBUG 2024-10-10 12:51:21,164 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1728485726.8856094
